City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,Ipira,-12.1583,-39.7372,86.99,53,99,0.09,BR,2023-04-18 13:56:46
231,Antofagasta,-23.65,-70.4,65.48,64,73,9.08,CL,2023-04-18 13:53:16
232,Karratha,-20.7377,116.8463,78.64,54,5,5.12,AU,2023-04-18 13:48:23
233,Port Hedland,-20.3167,118.5667,75.25,38,9,6.91,AU,2023-04-18 13:56:47
234,Mansehra,34.3333,73.2,61.41,77,100,6.33,PK,2023-04-18 13:56:47
235,Port Moresby,-9.4431,147.1797,77.11,85,44,4.16,PG,2023-04-18 13:55:24
236,Stawell,-37.05,142.7667,57.43,76,100,2.35,AU,2023-04-18 13:56:48
237,Qaqortoq,60.7167,-46.0333,32.14,87,52,3.09,GL,2023-04-18 13:47:23
238,Rio Grande,-32.035,-52.0986,69.91,58,9,8.68,BR,2023-04-18 13:56:48
239,Viamao,-30.0811,-51.0233,68.4,76,20,4.61,BR,2023-04-18 13:52:28
240,Bilma,18.6853,12.9164,105.37,7,24,12.73,NE,2023-04-18 13:56:48
241,Tilichiki,60.4667,166.1,31.41,82,100,24.09,RU,2023-04-18 13:47:54
242,Moerai,-22.4333,-151.3333,77.14,68,100,16.78,PF,2023-04-18 13:48:22
243,Brigantine,39.4101,-74.3646,64.2,53,0,13.8,US,2023-04-18 13:56:48
244,Te Anau,-45.4167,167.7167,47.17,91,28,0.81,NZ,2023-04-18 13:47:52
245,Kahului,20.8947,-156.47,73.85,82,75,8.05,US,2023-04-18 13:47:08
246,Esperance,-33.8667,121.9,61.2,55,100,7.99,AU,2023-04-18 13:47:03
247,Praia,14.9215,-23.5087,81.14,54,75,23.02,CV,2023-04-18 13:56:49
248,Linqiong,30.4159,103.4609,78.62,65,60,0.87,CN,2023-04-18 13:56:49
249,Kharopon,41.2667,23.3833,59.32,67,100,3.65,GR,2023-04-18 13:56:49
250,Kemijarvi,66.7131,27.4306,37.49,88,97,3.62,FI,2023-04-18 13:47:48
251,Geraldton,-28.7667,114.6,64.81,77,0,10.36,AU,2023-04-18 13:46:55
252,Husavik,66.0449,-17.3389,47.8,68,100,14.0,IS,2023-04-18 13:48:11
253,Pajan,-1.5667,-80.4167,79.21,81,82,1.57,EC,2023-04-18 13:56:49
254,Buala,-8.145,159.5921,78.31,76,22,3.6,SB,2023-04-18 13:56:50
255,Zhezkazgan,47.8043,67.7144,46.38,29,0,4.47,KZ,2023-04-18 13:47:44
256,Kununurra,-15.7667,128.7333,64.38,82,72,0.0,AU,2023-04-18 13:44:32
257,Charyshskoye,51.3978,83.5598,24.49,71,98,13.56,RU,2023-04-18 13:56:50
258,Ulcinj,41.9294,19.2244,66.42,70,51,9.89,ME,2023-04-18 13:56:50
259,Tvedestrand,58.622,8.9315,50.92,56,100,6.46,NO,2023-04-18 13:56:50
260,Bima,-8.4667,118.7167,76.14,95,93,3.83,ID,2023-04-18 13:47:40
261,Westport,41.1415,-73.3579,57.74,55,100,13.0,US,2023-04-18 13:55:04
262,Shu,43.5983,73.7614,45.0,49,26,7.14,KZ,2023-04-18 13:56:50
263,Hakkari,37.5833,44.1667,59.23,41,19,5.93,TR,2023-04-18 13:56:51
264,Iwanai,42.9744,140.5089,43.41,84,100,4.25,JP,2023-04-18 13:56:51
265,Bambanglipuro,-7.95,110.2833,79.12,86,100,6.58,ID,2023-04-18 13:47:14
266,Boddam,57.4667,-1.7833,58.42,74,9,10.85,GB,2023-04-18 13:56:51
267,Riyadh,24.6877,46.7219,86.14,30,0,2.33,SA,2023-04-18 13:56:32
268,Camocim,-2.9022,-40.8411,83.84,73,99,7.61,BR,2023-04-18 13:55:34
269,Thinadhoo,0.5333,72.9333,84.2,67,87,3.71,MV,2023-04-18 13:56:51
270,Paamiut,61.994,-49.6678,29.95,84,80,17.74,GL,2023-04-18 13:47:27
271,Peterongan,-7.5394,112.2792,75.74,94,99,3.83,ID,2023-04-18 13:56:52
272,Upernavik,72.7868,-56.1549,6.44,94,90,4.36,GL,2023-04-18 13:47:32
273,Komatipoort,-25.4332,31.9548,88.05,28,0,6.89,ZA,2023-04-18 13:56:52
274,Carnarvon,-24.8667,113.6333,73.89,65,7,14.41,AU,2023-04-18 13:47:26
275,Nuuk,64.1835,-51.7216,27.88,86,97,8.99,GL,2023-04-18 13:56:52
276,Norrkoping,58.5942,16.1826,57.78,34,0,13.8,SE,2023-04-18 13:56:52
277,Skegness,53.1436,0.3363,56.01,74,4,20.27,GB,2023-04-18 13:56:52
278,Bali,-8.5,115.0,83.37,91,100,4.97,ID,2023-04-18 13:56:52
279,Okhotsk,59.3833,143.3,19.63,88,5,8.57,RU,2023-04-18 13:47:55
280,Lorengau,-2.0226,147.2712,81.01,79,92,7.14,PG,2023-04-18 13:47:55
281,Lata,40.1629,-8.3327,85.08,33,14,6.55,PT,2023-04-18 13:47:12
282,Kloulklubed,7.0419,134.2556,81.1,75,87,9.57,PW,2023-04-18 13:47:15
283,Puerto Quijarro,-17.7833,-57.7667,85.21,67,100,8.14,BO,2023-04-18 13:56:53
284,Along,28.1667,94.7667,75.45,57,47,1.66,IN,2023-04-18 13:56:53
285,Mumford,5.2618,-0.759,85.86,67,84,11.54,GH,2023-04-18 13:56:53
286,Celestun,20.8667,-90.4,73.72,65,0,10.49,MX,2023-04-18 13:56:54
287,Maceio,-9.6658,-35.7353,85.44,70,75,4.61,BR,2023-04-18 13:56:56
288,Saskylakh,71.9167,114.0833,-7.33,100,95,4.9,RU,2023-04-18 13:56:56
289,Touros,-5.1989,-35.4608,86.0,65,94,9.53,BR,2023-04-18 13:43:00
290,Rawah,34.4816,41.9093,88.39,16,90,6.22,IQ,2023-04-18 13:56:57
291,Lam Luk Ka,13.9323,100.7494,93.0,71,20,11.5,TH,2023-04-18 13:56:57
292,Pisco,-13.7,-76.2167,74.01,73,96,8.05,PE,2023-04-18 13:56:57
293,Grand Gaube,-20.0064,57.6608,79.2,82,96,8.01,MU,2023-04-18 13:47:35
